text,label,clear_text,bigram_text
Не хочу выходить на улицу! Почему у меня командировка не в Эмираты (((,negative,"['не', 'хотеть', 'выходить', 'улица', 'почему', 'командировка', 'эмират']","['не', 'хотеть', 'выходить_улица', 'почему', 'командировка', 'эмират']"
Бог ненавидит нас всех.хэнк моуди,neutral,"['бог', 'ненавидеть', 'хэнк', 'моудить']","['бог', 'ненавидеть', 'хэнк', 'моудить']"
"Ща всё будет, хана им 🔪🔫",negative,"['ща', 'все', 'хана']","['ща', 'все', 'хана']"
Журналист ленты новостей...,neutral,"['журналист', 'лента', 'новость']","['журналист', 'лента', 'новость']"
Че то скучно пишите ее,neutral,"['че', 'скучно', 'писать']","['че', 'скучно', 'писать']"
Расстрел Чаушеску и его жены,neutral,"['расстрел', 'чаушесок', 'жена']","['расстрел', 'чаушесок', 'жена']"
"иногда, вечерами...",neutral,['вечер'],['вечер']
"Если человек не пьёт и не курит, неволей начинаешь задумываться, а не сука ли он.. © Антон Павлович Чехов.",neutral,"['если', 'человек', 'пить', 'курить', 'неволей', 'начинать', 'задумываться', 'сука', 'антон', 'павлович', 'чехов']","['если', 'человек', 'пить', 'курить', 'неволей', 'начинать', 'задумываться', 'сука', 'антон', 'павлович', 'чехов']"
а на 3 камере опять пездежь,negative,"['камера', 'пездежь']","['камера', 'пездежь']"
Санечка..соскучилась(,positive,"['санечка', 'соскучиться']","['санечка', 'соскучиться']"
"Смерть страшна, но еще страшнее было бы сознание, что будешь жить вечно и никогда не умрешь.",negative,"['смерть', 'страшный', 'страшный', 'сознание', 'быть', 'жить', 'вечно', 'умирать']","['смерть', 'страшный', 'страшный', 'сознание', 'быть', 'жить', 'вечно', 'умирать']"
"Крепитесь люди, скоро лето... (c)",neutral,"['крепиться', 'человек', 'скоро', 'лето']","['крепиться', 'человек', 'скоро', 'лето']"
"Детский крематорий ""Уголек"".",neutral,"['детский', 'крематорий', 'уголек']","['детский', 'крематорий', 'уголек']"
"«Фонемный состав морфемы передается по сильной фонетической позиции».

Я люблю русский язык. Он так иногда умеет одной фразой вынести мозг! (((=",negative,"['фонемный', 'состав', 'морфема', 'передаваться', 'сильный', 'фонетический', 'позиция', 'любить', 'русский', 'язык', 'он', 'уметь', 'один', 'фраза', 'вынести', 'мозг']","['фонемный', 'состав', 'морфема', 'передаваться', 'сильный', 'фонетический', 'позиция', 'любить', 'русский', 'язык', 'он', 'уметь', 'один', 'фраза', 'вынести', 'мозг']"
"Я привыкаю к людям, как к наркоте… И потом, когда эти люди уходят… У меня начинается ломка… Ей Богу, лучше бы я курила. (с)",negative,"['привыкать', 'человек', 'наркота', 'человек', 'уходить', 'начинаться', 'ломка', 'она', 'бог', 'курить']","['привыкать', 'человек', 'наркота', 'человек', 'уходить', 'начинаться', 'ломка', 'она', 'бог', 'курить']"
"Может быть Я и псих, но уж больно Мне нравится наблюдать за людьми. Жалкие, мелкие людишки, которые двуликие даже по отношению к самым близким людям. Улыбаясь в лицо, и называя другом, они готовы впиться клыками в горло при первом-же удачном моменте. Их глупые обещания или красноречивые выссеры в сторону любых тем, вызывают у Меня острые приступы метеоризма. Посмотрите на себя, вы отвратительны!",negative,"['может', 'псих', 'больно', 'я', 'нравиться', 'наблюдать', 'человек', 'жалкий', 'мелкий', 'людишки', 'который', 'двуликий', 'отношение', 'самый', 'близкий', 'человек', 'улыбаться', 'лицо', 'называть', 'друг', 'готовый', 'впиваться', 'клык', 'горло', 'первый', 'удачный', 'момент', 'они', 'глупый', 'обещание', 'красноречивый', 'выссер', 'сторона', 'любой', 'вызывать', 'я', 'острый', 'приступ', 'метеоризм', 'посмотреть', 'отвратительный']","['может', 'псих', 'больно', 'я_нравиться', 'наблюдать', 'человек', 'жалкий', 'мелкий', 'людишки', 'который', 'двуликий', 'отношение', 'самый_близкий', 'человек', 'улыбаться', 'лицо', 'называть', 'друг', 'готовый', 'впиваться', 'клык', 'горло', 'первый', 'удачный', 'момент', 'они', 'глупый', 'обещание', 'красноречивый', 'выссер', 'сторона', 'любой', 'вызывать', 'я', 'острый', 'приступ', 'метеоризм', 'посмотреть', 'отвратительный']"
фу! блеать сам смотри свой вормгажточкаком! отвратительно! бляяяяяяяяяяяяяяяяяяяя,negative,"['фу', 'блеать', 'смотреть', 'свой', 'вормгажточкак', 'отвратительно', 'бляяяяяяяяяяяяяяяяяяяя']","['фу', 'блеать', 'смотреть', 'свой', 'вормгажточкак', 'отвратительно', 'бляяяяяяяяяяяяяяяяяяяя']"
я охуел...,negative,['охуевать'],['охуевать']
"Все равно верю, что человек не может специально совершить плохой поступок поступок!!! Оступиться от отчаянья может((",neutral,"['все', 'равный', 'верить', 'человек', 'специально', 'совершать', 'плохой', 'поступок', 'поступок', 'оступаться', 'отчаяние']","['все_равный', 'верить', 'человек', 'специально', 'совершать', 'плохой', 'поступок', 'поступок', 'оступаться', 'отчаяние']"
"Меня выбешивают люди,
которые говорят ""я ничего не
знаю"", а затем получают 5.
Коварные уроды, блядь *:)",negative,"['я', 'выбешивать', 'человек', 'который', 'говорить', 'знать', 'затем', 'получать', 'коварный', 'урод', 'блядь']","['я', 'выбешивать', 'человек_который', 'говорить', 'знать', 'затем', 'получать', 'коварный', 'урод', 'блядь']"
наблюдая за событиями в украине с конца прошлого года за тем как ведут себя лидеры и народ в украине и россии ЕС и америке можно сказать только одно ПЛОХО ВСЁ!!.........НЕТ ПРАВДЫ НЕ У КОГО всё переплелось в узел обмана трусости обольщения ненависти и скудоумия и этом нет не чего удивительного потому что это царство ДЬЯВОЛА,negative,"['наблюдать', 'событие', 'украина', 'конец', 'прошлый', 'год', 'вести', 'лидер', 'народ', 'украина', 'россия', 'ес', 'америка', 'сказать', 'один', 'плохой', 'вс', 'нет', 'правда', 'не', 'кто', 'все', 'переплетаться', 'узел', 'обман', 'трусость', 'обольщение', 'ненависть', 'скудоумие', 'удивительный', 'это', 'царство', 'дьявол']","['наблюдать', 'событие', 'украина', 'конец', 'прошлый_год', 'вести', 'лидер', 'народ', 'украина', 'россия', 'ес', 'америка', 'сказать', 'один', 'плохой', 'вс', 'нет', 'правда', 'не', 'кто', 'все', 'переплетаться', 'узел', 'обман', 'трусость', 'обольщение', 'ненависть', 'скудоумие', 'удивительный', 'это', 'царство', 'дьявол']"
Овечья болезнь последних времен.,neutral,"['овечий', 'болезнь', 'последний', 'время']","['овечий', 'болезнь', 'последний_время']"
"Падение межпланетной станции: страх перед ""Фобосом"" растет .Этот уже который по счёту,я сбился,третий?..четвёртый??",neutral,"['падение', 'межпланетный', 'станция', 'страх', 'фобос', 'расти', 'этот', 'который', 'счет', 'сбиваться', 'третий', 'четвертый']","['падение', 'межпланетный', 'станция', 'страх', 'фобос', 'расти', 'этот', 'который', 'счет', 'сбиваться', 'третий', 'четвертый']"
а теперь быстро пошел и выбросился из моей головы,negative,"['быстро', 'пойти', 'выбрасываться', 'мой', 'голова']","['быстро', 'пойти', 'выбрасываться', 'мой', 'голова']"
"Эх, кк же хочется в Неверляндию...",positive,"['эх', 'кк', 'хотеться', 'неверляндия']","['эх', 'кк', 'хотеться', 'неверляндия']"
блииин...ну как выучить этот текст????.....='(((,negative,"['блииин', 'выучивать', 'текст']","['блииин', 'выучивать', 'текст']"
💦всем по сопле((,neutral,"['все', 'сопло']","['все', 'сопло']"
"Cкоро  каникууууулы!
А некоторые между прочим уезжают! :(",negative,"['коро', 'каникууууулы', 'некоторый', 'прочее', 'уезжать']","['коро', 'каникууууулы', 'некоторый', 'прочее', 'уезжать']"
5.Плачу- я лох !,negative,"['плакать', 'лох']","['плакать', 'лох']"
"""Нахуй сон"",а щас дрыхнеш,заметь тайлер не спал",neutral,"['нахуй', 'сон', 'щас', 'дрыхнеш', 'замечать', 'тайлер', 'спать']","['нахуй', 'сон', 'щас', 'дрыхнеш', 'замечать', 'тайлер', 'спать']"
"Я унылое говно! не пишите мне! я не хочу не с кем разговаривать .....:
...",negative,"['унылый', 'гавно', 'писать', 'хотеть', 'кто', 'разговаривать']","['унылый', 'гавно', 'писать', 'хотеть', 'кто', 'разговаривать']"
и так каждую ночь,neutral,"['каждый', 'ночь']","['каждый', 'ночь']"
как все интересно-то стало...,neutral,"['интересно', 'становиться']","['интересно', 'становиться']"
"скучаю, девулички мои((",negative,"['скучать', 'девулички', 'мой']","['скучать', 'девулички', 'мой']"
"жесть, а когда-то я Путина уважала(",negative,"['жесть', 'путин', 'уважать']","['жесть', 'путин', 'уважать']"
ПАШЁЛЬ ОНо НА ХУЙ,negative,"['паша', 'ль', 'оно', 'на', 'хуй']","['паша', 'ль', 'оно', 'на', 'хуй']"
"Чтоб ты слюнями захлебнулся, пес смердячий!",negative,"['чтоб', 'слюни', 'захлебываться', 'пес', 'смердячий']","['чтоб', 'слюни', 'захлебываться', 'пес', 'смердячий']"
фуу мне так плохо может бухнуть так что би ето всё забыть:!?,negative,"['фуу', 'плохо', 'бухнуть', 'би', 'ето', 'все', 'забывать']","['фуу', 'плохо', 'бухнуть', 'би', 'ето', 'все', 'забывать']"
"осталось меньше пяти дней.. где, бля, снег?!",negative,"['оставаться', 'мало', 'пять', 'день', 'бля', 'снег']","['оставаться', 'мало', 'пять', 'день', 'бля', 'снег']"
Скоропостижно скончался американский музыкант Принс   ((((,negative,"['скоропостижный', 'скончаться', 'американский', 'музыкант', 'принс']","['скоропостижный', 'скончаться', 'американский', 'музыкант', 'принс']"
"Четверг, который как понедельник, только хуже. Несу меланхолию в массы",negative,"['четверг', 'который', 'понедельник', 'плохо', 'нести', 'меланхолия', 'масса']","['четверг', 'который', 'понедельник', 'плохо', 'нести', 'меланхолия', 'масса']"
"яйценюк, ты что думаеш что в нашей стране все такие же дебилы как ТЫ?рассказуй это бендеровцам но не ДОНБАССУ!!!",negative,"['яйценюк', 'думаеш', 'наш', 'страна', 'такой', 'дебил', 'ты', 'рассказувать', 'это', 'бендеровец', 'донбасс']","['яйценюк', 'думаеш', 'наш', 'страна', 'такой', 'дебил', 'ты', 'рассказувать', 'это', 'бендеровец', 'донбасс']"
Меня надо перевоспитать... А то я идиот!,negative,"['я', 'перевоспитывать', 'идиот']","['я', 'перевоспитывать', 'идиот']"
"Круто, чего еще сказать. По ходу дела я и тридцать брунейцев пойдут от гостиницы до Эрмитажа пешком. На хера нам при таких раскладах столь варварская роскошь как  автобус?",negative,"['круто', 'сказать', 'по', 'ход', 'дело', 'тридцать', 'брунеец', 'пойти', 'гостиница', 'эрмитаж', 'пешком', 'на', 'хер', 'мы', 'такой', 'расклад', 'столь', 'варварский', 'роскошь', 'автобус']","['круто', 'сказать', 'по', 'ход', 'дело', 'тридцать', 'брунеец', 'пойти', 'гостиница', 'эрмитаж', 'пешком', 'на', 'хер', 'мы', 'такой', 'расклад', 'столь', 'варварский', 'роскошь', 'автобус']"
"Мне настолько скучно и нечего делать, что я уже знаю 53 знака после запятой числа Пи на память.",neutral,"['я', 'настолько', 'скучно', 'нечего', 'делать', 'знать', 'знак', 'запятая', 'число', 'пи', 'память']","['я', 'настолько', 'скучно', 'нечего', 'делать', 'знать', 'знак', 'запятая', 'число', 'пи', 'память']"
последния ментоловоя сигарета),neutral,"['последний', 'ментоловой', 'сигарета']","['последний', 'ментоловой', 'сигарета']"
Тупо хочу спать...,negative,"['тупо', 'хотеть', 'спать']","['тупо', 'хотеть', 'спать']"
По-взрослому - это не удалить номер и потом звонить по пьяни...По-взрослому - это оставить номер и не звонить НИКОГДА....,neutral,"['по', 'взрослый', 'это', 'удалять', 'номер', 'звонить', 'пьянь', 'по', 'взрослый', 'это', 'оставлять', 'номер', 'звонить', 'никогда']","['по', 'взрослый', 'это', 'удалять', 'номер', 'звонить', 'пьянь', 'по', 'взрослый', 'это', 'оставлять', 'номер', 'звонить', 'никогда']"
Обломище :(,negative,['обломище'],['обломище']
Все очень Плохо..,negative,"['весь', 'очень', 'плохо']","['весь', 'очень', 'плохо']"
гори в аду,negative,"['гореть', 'ад']","['гореть', 'ад']"
"Устал, труды мои тяжкие, праведные....все для людей, ничего для себя...",negative,"['уставать', 'труд', 'мой', 'тяжкий', 'праведный', 'человек']","['уставать', 'труд', 'мой', 'тяжкий', 'праведный', 'человек']"
"Сокуров шокирован: премьера ""Фауста"" в Петербурге сорвалась...",negative,"['сокуров', 'шокировать', 'премьера', 'фауст', 'петербург', 'срываться']","['сокуров', 'шокировать', 'премьера', 'фауст', 'петербург', 'срываться']"
Тупой физической работе я предпочитаю интеллектуальное распиздяйство.,neutral,"['тупой', 'физический', 'работа', 'предпочитать', 'интеллектуальный', 'распиздяйство']","['тупой', 'физический', 'работа', 'предпочитать', 'интеллектуальный', 'распиздяйство']"
"Я стала другой...я забыла,что такоe 
смех,рaдость,любовь...начала курить,пить,реветь... Потеряла чувство 
реальности... Это все ты... Теперь ты доволен?ты довел меня до такого...",negative,"['становиться', 'забывать', 'тако', 'смех', 'дость', 'любовь', 'начинать', 'курить', 'пить', 'реветь', 'потерять', 'чувство', 'реальность', 'это', 'теперь', 'довольный', 'доводить', 'такой']","['становиться', 'забывать', 'тако', 'смех', 'дость', 'любовь', 'начинать', 'курить', 'пить', 'реветь', 'потерять', 'чувство', 'реальность', 'это', 'теперь', 'довольный', 'доводить', 'такой']"
"Он умер. Я чуть не расплакалась. 
А я его любила еще с самой первой части.",negative,"['он', 'умирать', 'расплакаться', 'любить', 'сам', 'первый', 'часть']","['он', 'умирать', 'расплакаться', 'любить', 'сам', 'первый', 'часть']"
"Омг -_-
Я из Украины , ну и нахуй пиздеть на Россию ?
И нахуй быть бендером ?",negative,"['омга', 'украина', 'нахуй', 'пиздеть', 'россия', 'нахуй', 'бендер']","['омга', 'украина', 'нахуй', 'пиздеть', 'россия', 'нахуй', 'бендер']"
"12.07.2014 21:33 (мск) Комментарии от И. И. Стрелкова

- Укро-СМИ пишут: ""За прошедшие сутки ... ликвидировано около тысячи террористов... За прошедшие сутки террористы убили пятерых военных..."".

И. И.: ""А ничо так... против 1000 убитых боевиков всего 5 уродов, пошедших на пополнение ""небесной сотни"" (которая уже, думается, третью тысячу разменяла). Неплохая статистика - на одного укра по 200 убитых ""колорадов""! Можно так воевать!
Вот только ""меня терзают смутные сомненья"": у нас сегодня 3 ""двухсотых"" - на участке фронта от Снежного до Лисичанска. Где же они остальные 997 ""насобирали""? Ну, еще под полсотни мирных жителей они уничтожили за ночь и за день, мрази... И все равно 1000 никак не получается"".",negative,"['мск', 'комментарий', 'стрелков', 'укро', 'сми', 'писать', 'за', 'прошедший', 'сутки', 'ликвидировать', 'около', 'тысяча', 'террорист', 'за', 'прошедший', 'сутки', 'террорист', 'убивать', 'пятеро', 'военный', 'ничо', 'против', 'убитый', 'боевик', 'урод', 'пойти', 'пополнение', 'небесный', 'сотня', 'который', 'думаться', 'третий', 'тысяча', 'разменивать', 'неплохой', 'статистика', 'один', 'укр', 'убитый', 'колорадов', 'можно', 'воевать', 'вот', 'терзать', 'смутный', 'сомнение', 'сегодня', 'двухсотый', 'участок', 'фронт', 'снежный', 'лисичанск', 'где', 'остальной', 'насобирать', 'ну', 'полсотни', 'мирный', 'житель', 'уничтожать', 'ночь', 'день', 'мразь', 'равно', 'никак', 'получаться']","['мск', 'комментарий', 'стрелков', 'укро', 'сми', 'писать', 'за', 'прошедший', 'сутки', 'ликвидировать', 'около', 'тысяча', 'террорист', 'за', 'прошедший', 'сутки', 'террорист', 'убивать', 'пятеро', 'военный', 'ничо', 'против', 'убитый', 'боевик', 'урод', 'пойти', 'пополнение', 'небесный', 'сотня', 'который', 'думаться', 'третий', 'тысяча', 'разменивать', 'неплохой', 'статистика', 'один', 'укр', 'убитый', 'колорадов', 'можно', 'воевать', 'вот', 'терзать', 'смутный', 'сомнение', 'сегодня', 'двухсотый', 'участок', 'фронт', 'снежный', 'лисичанск', 'где', 'остальной', 'насобирать', 'ну', 'полсотни', 'мирный', 'житель', 'уничтожать', 'ночь', 'день', 'мразь', 'равно', 'никак', 'получаться']"
"блин, меня всю продрагивает от слов...",negative,"['блин', 'продрагивать', 'слово']","['блин', 'продрагивать', 'слово']"
Мой ответ всем продажным ментам,negative,"['мой', 'ответ', 'весь', 'продажный', 'мент']","['мой', 'ответ', 'весь', 'продажный', 'мент']"
"Как трудно жить,когда тебя бросили...",negative,"['как', 'трудно', 'жить', 'бросать']","['как', 'трудно', 'жить', 'бросать']"
ЭТО ПОЗОР! Человек занимающий подобную должность обязан знать Английский!!! И этот ролик(((( Сколько взятку мы дали?,negative,"['это', 'позор', 'человек', 'занимать', 'подобный', 'должность', 'обязанный', 'знать', 'английский', 'ролик', 'сколько', 'взятка', 'давать']","['это_позор', 'человек', 'занимать', 'подобный', 'должность', 'обязанный', 'знать', 'английский', 'ролик', 'сколько', 'взятка', 'давать']"
Вчера смотрел проститутку Тимошенко то ебется с адвокатом то со своим мужиком,negative,"['вчера', 'смотреть', 'проститутка', 'тимошенко', 'ебаться', 'адвокат', 'свой', 'мужик']","['вчера', 'смотреть', 'проститутка', 'тимошенко', 'ебаться', 'адвокат', 'свой', 'мужик']"
"Маловато будет =(
#ДеньРадио",neutral,"['маловато', 'деньрадио']","['маловато', 'деньрадио']"
"мозги, конечно не видно,но когда их не хватает-ЗАМЕТНО :)",neutral,"['мозги', 'видно', 'хватать', 'заметно']","['мозги', 'видно', 'хватать', 'заметно']"
Безысходность),negative,['безысходность'],['безысходность']
Когда же мой рабочий день кончится?...,neutral,"['когда', 'рабочий', 'день', 'кончаться']","['когда', 'рабочий_день', 'кончаться']"
Интересно у Параше остались самолёты и вертолеты или всех погрохали !Что-то они перестали летать,neutral,"['интересно', 'параша', 'оставаться', 'самолет', 'вертолет', 'погрохать', 'что', 'переставать', 'летать']","['интересно', 'параша', 'оставаться', 'самолет', 'вертолет', 'погрохать', 'что', 'переставать', 'летать']"
"Майкоп 15.06.2013 время 23.20 град шел пол часа после сильнейшего  ливня, у всех в городе теперь крыши и капоты с вмятинами на машинах включая меня (((((((",negative,"['майкоп', 'время', 'град', 'идти', 'пол', 'час', 'сильный', 'ливень', 'город', 'крыша', 'капот', 'вмятина', 'машина', 'включая']","['майкоп', 'время', 'град', 'идти', 'пол_час', 'сильный', 'ливень', 'город', 'крыша', 'капот', 'вмятина', 'машина', 'включая']"
Муж подловил нас троих (единственное общее фото нас :((( ),neutral,"['муж', 'подлавливать', 'трое', 'единственный', 'общий', 'фото']","['муж', 'подлавливать', 'трое', 'единственный', 'общий', 'фото']"
Объясните дураку в чем прикол скорбеть по поводу смерти Стива Джобса?,neutral,"['объяснять', 'дурак', 'прикол', 'скорбеть', 'повод', 'смерть', 'стив', 'джобс']","['объяснять', 'дурак', 'прикол', 'скорбеть', 'повод', 'смерть', 'стив', 'джобс']"
Ах эта осень🍁💕,positive,"['ах', 'этот', 'осень']","['ах', 'этот', 'осень']"
новый. я кажется теряю хватку Т_Т,neutral,"['новый', 'кажется', 'терять', 'хватка']","['новый', 'кажется', 'терять', 'хватка']"
скучно!!!!,negative,['скучно'],['скучно']
"Дорогой Люциферушка, устрой, пожалуйста, апокалипсис, не за себя прошу... нам тут всем скучно",negative,"['дорогой', 'люциферушка', 'устраивать', 'пожалуйста', 'апокалипсис', 'просить', 'мы', 'все', 'скучно']","['дорогой', 'люциферушка', 'устраивать', 'пожалуйста', 'апокалипсис', 'просить', 'мы', 'все', 'скучно']"
был очень неудачный день!!!!!!(((,negative,"['очень', 'неудачный', 'день']","['очень', 'неудачный', 'день']"
дико хочется жрать!,positive,"['дико', 'хотеться', 'жрать']","['дико', 'хотеться', 'жрать']"
Не верьте в сказки - их просто нет: сплошь иллюзия обмана !,negative,"['не', 'верить', 'сказка', 'просто', 'сплошь', 'иллюзия', 'обман']","['не', 'верить', 'сказка', 'просто', 'сплошь', 'иллюзия', 'обман']"
"Ну, я пришёл домой, а тут нет ничего. Обидно(( На работе мне померещилась картинка.",negative,"['ну', 'приходить', 'домой', 'обидно', 'на', 'работа', 'померещиться', 'картинка']","['ну', 'приходить', 'домой', 'обидно', 'на', 'работа', 'померещиться', 'картинка']"
"Настоящие герои это те, кто жертвует своей жизнью ради жизни многих людей. А те, кто убивает безоружных людей, женщин и детей - это не герои, это позор Украины.",negative,"['настоящий', 'герой', 'это', 'тот', 'жертвовать', 'свой', 'жизнь', 'ради', 'жизнь', 'многий', 'человек', 'тот', 'убивать', 'безоружный', 'человек', 'женщина', 'ребенок', 'это', 'герой', 'это', 'позор', 'украина']","['настоящий', 'герой', 'это', 'тот', 'жертвовать', 'свой', 'жизнь', 'ради', 'жизнь', 'многий', 'человек', 'тот', 'убивать', 'безоружный', 'человек', 'женщина', 'ребенок', 'это', 'герой', 'это_позор', 'украина']"
Когда снимать швы нужно? В больницу не хочется и времени нет...,neutral,"['когда', 'снимать', 'шов', 'нужно', 'больница', 'хотеться', 'время']","['когда', 'снимать', 'шов', 'нужно', 'больница', 'хотеться', 'время']"
"Отношения начинаются со слов""ой,у нас столько общего"", а заканчиваются""мы с тобой слишком разные""...",neutral,"['отношение', 'начинаться', 'слово', 'ой', 'столько', 'общий', 'заканчиваться', 'ты', 'слишком', 'разный']","['отношение', 'начинаться', 'слово', 'ой', 'столько', 'общий', 'заканчиваться', 'ты', 'слишком', 'разный']"
Ну ты бля красавчик ваще внатуре бля,positive,"['ну', 'бля', 'красавчик', 'ващ', 'внатура', 'бля']","['ну', 'бля', 'красавчик', 'ващ', 'внатура', 'бля']"
"Всё растут,а я сука нехуя не меняюсь=\",negative,"['все', 'расти', 'сука', 'нехуя', 'меняться']","['все', 'расти', 'сука', 'нехуя', 'меняться']"
"фак, на ка6луках тяжело ходить, на плоской подошве тоже тяжело. что 6лин делать",negative,"['фак', 'ка', 'луки', 'тяжело', 'ходить', 'плоский', 'подошва', 'тяжело', 'лин', 'делать']","['фак', 'ка', 'луки', 'тяжело', 'ходить', 'плоский', 'подошва', 'тяжело', 'лин', 'делать']"
"""сегодня вас любят, завтра нет, схуяли удивляться я не пойму.”",neutral,"['сегодня', 'любить', 'завтра', 'схуять', 'удивляться', 'понимать']","['сегодня', 'любить', 'завтра', 'схуять', 'удивляться', 'понимать']"
"Прощай Авгур... Пусть земля тебе будет пухом... Помним, любим, скорбим...",negative,"['прощать', 'авгур', 'пусть', 'земля', 'ты', 'пух', 'помнить', 'любить', 'скорбеть']","['прощать', 'авгур', 'пусть_земля', 'ты', 'пух', 'помнить_любить', 'скорбеть']"
И все таки мне нужна парочка рабов...,neutral,"['таки', 'нужный', 'парочка', 'раб']","['таки', 'нужный', 'парочка', 'раб']"
"НУ ВЫ ПУТИНЯНЕ НЕДОБИТЫЕ, ПОДЛЕЦЫ ! ГОСПОДИН ПРЕЗИДЕНТ ВСЕХ ВОРОВ И ЖУЛИКОВ РОССИИ СКАЗАЛ ЧТО ВАМ СТАЛО КОМФОРТНО И БОГАТО ! А ДРУГОЙ БОЛЬШОЙ НАРОД ЖИВЕТ В ДОЛГ У БАНКИРОВ И ПОЛУЧАЕТ НИЩЕНСКУЮ ЕВРОПЕЙСКУЮ ЗАРПЛАТУ !",negative,"['ну', 'вы', 'путинянин', 'недобитый', 'подлец', 'господин', 'президент', 'весь', 'вор', 'жулик', 'россия', 'сказать', 'что', 'вы', 'становиться', 'комфортно', 'богато', 'другой', 'большой', 'народ', 'жить', 'долг', 'банкир', 'получать', 'нищенский', 'европейский', 'зарплата']","['ну', 'вы', 'путинянин', 'недобитый', 'подлец', 'господин', 'президент', 'весь', 'вор', 'жулик', 'россия', 'сказать', 'что', 'вы', 'становиться', 'комфортно', 'богато', 'другой', 'большой', 'народ', 'жить', 'долг', 'банкир', 'получать', 'нищенский', 'европейский', 'зарплата']"
"и где сказано,что ебанутый на всю голову не является нормальным? (с)",neutral,"['сказать', 'ебануть', 'голова', 'являться', 'нормальный']","['сказать', 'ебануть', 'голова', 'являться', 'нормальный']"
Блин Руля статус правда...,neutral,"['блин', 'руль', 'статус', 'правда']","['блин', 'руль', 'статус', 'правда']"
хули ты мой статус спиздил! нигер херов?!,negative,"['хули', 'статус', 'спиздить', 'нигер', 'хер']","['хули', 'статус', 'спиздить', 'нигер', 'хер']"
Мир двоих не понять милионам.,neutral,"['мир', 'двое', 'понимать', 'милион']","['мир', 'двое', 'понимать', 'милион']"
"грустное серебро зенита, дело к полночи и не допить вино,вера в силу газпрома убита, пойду в лотке кота - убирать говно.",negative,"['грустный', 'серебро', 'зенит', 'дело', 'полночь', 'допивать', 'вино', 'вера', 'сила', 'газпром', 'убивать', 'пойти', 'лоток', 'кот', 'убирать', 'гавно']","['грустный', 'серебро', 'зенит', 'дело', 'полночь', 'допивать', 'вино', 'вера', 'сила', 'газпром', 'убивать', 'пойти', 'лоток', 'кот', 'убирать', 'гавно']"
ты ебанько,negative,['ебанько'],['ебанько']
Значки на серых пиджаках. На лицах скука или страх...,negative,"['значок', 'серый', 'пиджак', 'на', 'лицо', 'скука', 'страх']","['значок', 'серый', 'пиджак', 'на', 'лицо', 'скука', 'страх']"
mst4k [id131583510|уёбок] будем гомна роздавать!),positive,"['быть', 'гомна', 'роздавать']","['быть', 'гомна', 'роздавать']"
"Порой такое чуство,что я тебе нафиг нужна!!!!",negative,"['пора', 'такой', 'чуство', 'ты', 'нафиг', 'нужный']","['пора', 'такой', 'чуство', 'ты', 'нафиг', 'нужный']"
Долбаный 3G интернет...,negative,"['долбаный', 'интернет']","['долбаный', 'интернет']"
кому 1 ром подарить?просто так чтоб привлечь к себе внимание а то мне никто не пишет((((,negative,"['кто', 'ром', 'подарить', 'просто', 'привлекать', 'внимание', 'никто', 'писать']","['кто', 'ром', 'подарить', 'просто', 'привлекать', 'внимание', 'никто', 'писать']"
